claim_id,section,provisional_claim,evidence_file,secondary_evidence_file,key_result,independence_scope,planned_output,claim_strength,reviewer_risk,required_caveat
C01,Methods/Discussion,"Short-term camera variation in the tested static conditions is generally sub-millimetre and is insufficient to explain the largest off-plane errors.",E0/E0_A_camera_static/results/E0A_formal_5position_summary.json,,"Median XY radial P95 0.389 mm; worst P95 1.023 mm","Repeated frames within camera-position time series; not independent deployments",Table II/Supplement,Direct,Medium,"Not a complete sensor uncertainty budget"
C02,Results/RQ1,"At the 36 held-out planar locations, Homography and PnP had lower XY RMSE than global Affine.",E1/E1_planar_model_comparison/results/E1_ihawk1_planar_20260807_212655_comparison_summary.json,,"Affine/Homography/PnP RMSE 4.854/0.660/0.661 mm","36 spatial locations on one board/camera setup; shared frozen inputs",Fig.2/Table III,Direct,Medium,"Do not call 36 independent physical trials"
C03,Results/RQ1,"Homography and PnP were descriptively similar on the tested plane.",E1/E1_planar_model_comparison/results/E1_ihawk1_planar_20260807_212655_comparison_summary.json,,"Mean 0.585/0.587 mm; RMSE 0.660/0.661 mm","Paired spatial locations; 50 frames do not create independent deployment replication",Fig.2/Table III,Moderate,Medium,"No statistical equivalence claim"
C04,Results/RQ2,"Affine and Homography errors increased strongly with off-plane height in both tested cameras.",E2/E2_rebuilt/model_comparison/E2_height_summary.csv,,"At 50 mm ihawk1 69.63/81.97 mm and ihawk2 56.43/64.26 mm for Affine/Homography","Five physical rebuilds; three frames averaged within condition",Fig.3/Table III,Direct,Low,"Z=0 is calibration condition"
C05,Results/RQ2,"PnP was more robust to off-plane displacement than the two-dimensional mappings across the tested cameras and rebuilds.",E2/E2_rebuilt/model_comparison/E2_height_summary.csv,,"PnP XY RMSE at 50 mm 10.63 mm ihawk1 and 4.54 mm ihawk2","Five physical rebuilds; paired height conditions",Fig.3/Table III,Direct,Medium,"Distinguish robustness from absolute accuracy; disclose Z=0 PnP bias"
C06,Discussion,"Mapping-model performance was geometry-dependent in the tested system.",E1/E1_planar_model_comparison/results/E1_ihawk1_planar_20260807_212655_comparison_summary.json,E2/E2_rebuilt/model_comparison/E2_height_summary.csv,"Homography/PnP descriptively similar on plane; PnP more height-robust","Cross-experiment synthesis",Fig.6,Strong inference,Medium,"No universal necessary-height threshold without a task tolerance"
C07,Results/RQ3,"Spatial coverage strongly affected error beyond point count alone in the tested candidate set.",E3/E3_model_comparison/E3_condition_summary.csv,,"4 spread H/PnP median 0.955/0.731 mm; 4 clustered 243.696/1.736 mm","100 offline subsets per condition from one physical observation set",Fig.4,Direct within dataset,Medium,"Not 100 physical recalibrations; define subset rules and seeds"
C08,Results/RQ3,"Minimal clustered configurations produced severe Homography degradation in this dataset.",E3/E3_model_comparison/E3_condition_summary.csv,,"4-point clustered Homography median 243.696 mm; extreme finite errors retained","Offline subset trials",Fig.4/Supplement,Direct within dataset,Low,"Do not universalize magnitude or failure rate"
C09,Discussion/Supplement,"For tested spread configurations, gains from 12 to 24 points were small.",E3/E3_model_comparison/E3_condition_summary.csv,,"12 spread H/PnP 0.584/0.597 mm; 24 spread 0.562/0.581 mm","Offline subset resampling",Supplement/Discussion,Conditional engineering inference,High,"Do not present 12-16 as a universal sufficient number"
C10,Results/RQ4,"The completed E4 block had an observed Oracle endpoint reference of mean 1.387 mm and RMSE 1.581 mm.",E4/E4A_formal_hover_ihawk1/20260811_195548/E4A_analysis_revision_20260813.md,E4/E4_board_to_robot_registration/20260810_144418/board_to_robot_planar_affine_model_REBUILT.json,"Nine-target Oracle mean/RMSE 1.387/1.581 mm; registration training RMSE 3.327 mm","Nine paired target positions in one completed block",Fig.5/Table III,Exploratory,High,"Not robot-only error or a stable floor; disclose limited/large held-out registration checks"
