ledger_id,cite_key,planned_section,intended_claim,source_location,verification_status,restriction_or_next_action
L01,Chen2023EasyHeC,Introduction/Related Work,"Hand-eye calibration error affects downstream robot positioning, and recent work evaluates calibration using real-robot targeting in addition to pose metrics.","PDF p.1 and p.6; DOI metadata",VERIFIED,"Paraphrase; do not imply their targeting protocol validates our E4"
L02,Zhong2020InteractiveHandEye,Related Work,"Task-related robot experiments can complement simulation and transformation-error evaluation in eye-to-hand calibration studies.","PDF pp.5-8; DOI metadata",VERIFIED,"Keep surgical context distinct from B2"
L03,Rustler2025RGBDComparison,Introduction/Related Work,"RGB-D sensing performance and device suitability depend on distance, geometry, and application scenario rather than a single aggregate ranking.","PDF pp.1,3,9,13-14",VERIFIED,"Does not support Berxel-specific numbers"
L04,Collins2014IPPE,Methods,"The PnP pipeline uses IPPE, an analytic method developed for pose estimation from planar point correspondences and planar ambiguities.","PDF pp.1-5; DOI metadata",VERIFIED,"Also verify exact OpenCV flag/version from official documentation before final wording"
L05,Zhang2000FlexibleCalibration,Related Work/Methods,"Planar-pattern camera calibration uses multiple plane orientations with closed-form initialization and nonlinear refinement, and includes degenerate configurations/sensitivity concerns.","Extended author PDF pp.3-17; formal DOI metadata",VERIFIED_WITH_VERSION_NOTE,"Cite TPAMI pages 1330-1334, not extended-report page count"
L06,Acuna2018ControlPointConfigurations,Related Work/Discussion,"Control-point spatial configuration and conditioning can materially affect Homography and planar pose estimation, sometimes more than simply increasing point count.","Preprint pp.4-7",PROVISIONAL_PREPRINT,"Search for peer-reviewed substitute or explicitly cite as preprint"
L07,Wu2020FourDProcrustes,Related Work,"Hand-eye calibration research can jointly evaluate analytic estimation, uncertainty descriptions, simulations, and real-world robot trajectories.","PDF pp.1-2,8-16",VERIFIED,"Only include if AX=XB discussion is relevant; do not conflate with B2 planar registration"
G01,Zhong2023RobotCamera,Related Work,"Robot-camera calibration errors, including rotational components, can propagate to end-effector positioning error, motivating task-level endpoint evaluation.","PDF pp.13-14, Figs.13-17; DOI metadata",VERIFIED,"Use as close precedent; its calibration problem and microtrimming platform differ from B2"
G02,Ulrich2024VisionGuidedCalibration,Introduction/Discussion,"Robot repeatability and absolute positioning accuracy are distinct; a vision-guided application must evaluate whether the externally measured pose is actually reached.","Publisher PDF pp.1,7-8,14-16; DOI metadata",VERIFIED_REMOTE_FULLTEXT,"Do not claim compliance with ISO 9283 from this source"
G03,Challis1992DLTControlPoints,Related Work,"Independent check points and the spatial distribution of control points are established concerns in photogrammetric reconstruction accuracy.","PubMed abstract; DOI metadata",ABSTRACT_VERIFIED_LIMITED,"General peer-reviewed support only; keep Acuna preprint for the direct Homography/IPPE/PnP-specific result"
G04,JCGM2008GUM,Methods/Limitations,"Finite reading resolution and repeatability contribute to measurement uncertainty and should be included when reporting a measurement result.","Official PDF sections 3-5, 7, F.2.1-F.2.2.1; PDF p.76",VERIFIED_GENERAL,"Does not validate B2's manual protocol by itself; E4 photographs are incomplete, so observer rereading is unavailable and the limitation must remain explicit"
G05,,Related Work,"Within the screened corpus, no study was identified that compares Affine, Homography, and PnP using the same low-cost fixed-camera observations, held-out workspace ground truth, off-plane scans, calibration-coverage resampling, and robot endpoint block.","Phase-2 search log dated 2026-08-13",SCREENED_CORPUS_ONLY,"Never write 'first' or 'no prior work exists'; update search before submission"
L08,Enebuse2022HandEyeAccuracy,Related Work,"Calibration-method performance can change with noise type and robot motion range rather than following one universal ranking.","PDF pp.1,13-18,22-23; DOI metadata",VERIFIED,"Classic AX=XB algorithms, not Affine/Homography/PnP"
L09,Chajon2026PhotogrammetricCharacterization,Methods/Limitations,"Low-cost external camera measurements can characterize planar robot positioning, but the observed deviations combine robot behavior with uncertainty from the photogrammetric measurement chain unless separately isolated.","PDF pp.3,6,9-11; especially p.10",VERIFIED,"Their automated photogrammetry is not equivalent to B2's manual grid reading"
L10,Ulrich2024VisionGuidedCalibration,Related Work,"The term end-to-end has already been used for simultaneous robot-kinematic, hand-eye, and camera-intrinsic calibration and for application-level evaluation.","Publisher PDF pp.1-2,7-8,14-16",VERIFIED_REMOTE_FULLTEXT,"This is prior art that restricts novelty wording; B2 uses end-to-end performance evaluation, not first end-to-end calibration"
