paper_id,title,year,venue,doi_or_id,local_pdf,fulltext_checked,figure_checked,decision,intended_use,version_note
Chen2023EasyHeC,"EasyHeC: Accurate and Automatic Hand-eye Calibration via Differentiable Rendering and Space Exploration",2023,"IEEE Robotics and Automation Letters",10.1109/LRA.2023.3315551,final_papers/Chen2023_EasyHeC_RA-L.pdf,yes,yes,VERIFIED_FULLTEXT,"writing benchmark; related work; downstream calibration relevance","author-hosted full paper"
Zhong2020InteractiveHandEye,"Hand-Eye Calibration of Surgical Instrument for Robotic Surgery Using Interactive Manipulation",2020,"IEEE Robotics and Automation Letters",10.1109/LRA.2020.2967685,final_papers/Zhong2020_InteractiveHandEye_RA-L.pdf,yes,yes,VERIFIED_FULLTEXT,"writing benchmark; task-related calibration validation","published PDF"
Wu2020FourDProcrustes,"Hand-Eye Calibration: 4-D Procrustes Analysis Approach",2020,"IEEE Transactions on Instrumentation and Measurement",10.1109/TIM.2019.2930710,final_papers/Wu2020_4DProcrustes_TIM.pdf,yes,yes,VERIFIED_FULLTEXT,"TIM writing benchmark; uncertainty and calibration related work","published PDF"
Rustler2025RGBDComparison,"Empirical Comparison of Four Stereoscopic Depth Sensing Cameras for Robotics Applications",2025,"IEEE Access",10.1109/ACCESS.2025.3560810,final_papers/Rustler2025_RGBDCameraComparison_IEEEAccess.pdf,yes,yes,VERIFIED_FULLTEXT,"empirical-comparison benchmark; task-dependent RGB-D performance","accepted/final CC BY manuscript linked to DOI"
Collins2014IPPE,"Infinitesimal Plane-Based Pose Estimation",2014,"International Journal of Computer Vision",10.1007/s11263-014-0725-5,final_papers/Collins2014_IPPE_IJCV.pdf,yes,yes,VERIFIED_FULLTEXT,"primary citation for PnP/IPPE implementation and planar pose ambiguity","published PDF"
Acuna2018ControlPointConfigurations,"Insights into the Robustness of Control Point Configurations for Homography and Planar Pose Estimation",2018,arXiv,1803.03025,final_papers/Acuna2018_ControlPointConfigurations_PREPRINT.pdf,yes,yes,PROVISIONAL_PREPRINT,"direct E3 support and figure benchmark","peer-reviewed version not verified"
Zhang2000FlexibleCalibration,"A Flexible New Technique for Camera Calibration",2000,"IEEE Transactions on Pattern Analysis and Machine Intelligence",10.1109/34.888718,final_papers/Zhang2000_FlexibleCameraCalibration_EXTENDED_AUTHOR_VERSION.pdf,yes,yes,VERIFIED_FULLTEXT_WITH_VERSION_NOTE,"foundational planar camera calibration; degeneracy/sensitivity benchmark","local PDF is extended author report; cite formal journal metadata"
Zhong2023RobotCamera,"Robot-Camera Calibration in Tightly Constrained Environment Using Interactive Perception",2023,"IEEE Transactions on Robotics",10.1109/TRO.2023.3299533,final_papers/Zhong2023_RobotCameraCalibration_TRO.pdf,yes,yes,VERIFIED_FULLTEXT,"closest endpoint-error propagation precedent; external/manual metrology benchmark","author-hosted copy of published article"
Enebuse2022HandEyeAccuracy,"Accuracy Evaluation of Hand-Eye Calibration Techniques for Vision-Guided Robots",2022,"PLOS ONE",10.1371/journal.pone.0273261,final_papers/Enebuse2022_HandEyeAccuracy_PLOS_ONE.pdf,yes,yes,VERIFIED_FULLTEXT,"algorithm benchmarking under noise and motion-range conditions","publisher open-access PDF"
Ulrich2024VisionGuidedCalibration,"Vision-Guided Robot Calibration Using Photogrammetric Methods",2024,"ISPRS Journal of Photogrammetry and Remote Sensing",10.1016/j.isprsjprs.2024.09.037,,yes,yes,VERIFIED_REMOTE_FULLTEXT,"end-to-end prior art; accuracy/repeatability distinction; application-level metrics","18-page CC BY publisher article fully checked online; local download server was unstable, so no damaged PDF retained"
Chajon2026PhotogrammetricCharacterization,"Photogrammetric Characterization of Robot Positioning Accuracy and Repeatability",2026,"Robotics",10.3390/robotics15050086,final_papers/Chajon2026_PhotogrammetricRobotPositioning_Robotics.pdf,yes,yes,VERIFIED_FULLTEXT,"closest low-cost external planar robot-characterization and measurement-chain limitation precedent","publisher open-access PDF"
JCGM2008GUM,"Evaluation of Measurement Data—Guide to the Expression of Uncertainty in Measurement",2008,"Joint Committee for Guides in Metrology",10.59161/JCGM100-2008E,final_papers/JCGM100_2008_GUM.pdf,yes,yes,VERIFIED_FULLTEXT,"general uncertainty model; resolution, repeatability and reporting guidance","official BIPM/JCGM PDF"
ISO9283_1998,"Manipulating Industrial Robots—Performance Criteria and Related Test Methods",1998,"International Organization for Standardization",ISO 9283:1998,,no,no,OFFICIAL_METADATA_ONLY,"terminology and standard context for robot performance testing","official page verified; full standard is paid and was not downloaded"
Challis1992DLTControlPoints,"Accuracy Assessment and Control Point Configuration When Using the DLT for Photogrammetry",1992,"Journal of Biomechanics",10.1016/0021-9290(92)90040-8,,no,no,ABSTRACT_VERIFIED,"peer-reviewed general support for independent check points and peripheral control-point distribution","PubMed abstract only; not sufficient for method-specific Homography/IPPE claims"
